case;activity;start time;end time;resource;product;prod-price;quantity;address
1;place order;2015-01-05 09:00:07;2015-01-05 09:02:50;Aiden;SAMSUNG Galaxy S4;329.0;5;NL-7833HT-15
2;place order;2015-01-05 10:18:21;2015-01-05 10:54:11;Isabella;MOTOROLA Moto G;199.0;5;NL-7751DG-21
3;place order;2015-01-05 11:54:49;2015-01-05 12:06:56;Sophia;APPLE iPhone 6 16 GB;639.0;7;NL-9402NV-25
4;place order;2015-01-05 14:07:45;2015-01-05 14:16:11;Sophia;SAMSUNG Core Prime G361;135.0;3;NL-7751AR-19
5;place order;2015-01-05 15:33:38;2015-01-05 15:44:36;Sophia;APPLE iPhone 6s Plus 64 GB;969.0;3;NL-7918AE-48b
6;place order;2015-01-05 17:25:23;2015-01-05 22:08:57;Lucas;APPLE iPhone 6s Plus 64 GB;969.0;4;NL-7822AW-5
7;place order;2015-01-05 19:08:53;2015-01-05 20:00:07;Luke;MOTOROLA Moto G;199.0;4;NL-7742XG-17
8;place order;2015-01-05 21:54:00;2015-01-05 22:05:05;Sophia;SAMSUNG Galaxy S4;329.0;2;NL-9514BV-16
9;place order;2015-01-06 07:25:13;2015-01-06 07:42:59;Caleb;APPLE iPhone 6 16 GB;639.0;3;NL-7828AM-11a
10;place order;2015-01-06 10:09:51;2015-01-06 10:16:52;Sophia;APPLE iPhone 6s 64 GB;858.0;3;NL-7828AM-11a
11;place order;2015-01-06 11:37:49;2015-01-06 11:50:02;Sophia;APPLE iPhone 6 16 GB;639.0;4;NL-7821AC-3
12;place order;2015-01-06 13:33:45;2015-01-06 13:46:45;Sophia;APPLE iPhone 6 16 GB;639.0;2;NL-7742XG-17
9;send invoice;2015-01-06 15:20:14;2015-01-06 15:26:00;Lily;APPLE iPhone 6 16 GB;639.0;3;NL-7828AM-11a
13;place order;2015-01-06 15:25:38;2015-01-06 15:44:50;Luke;APPLE iPhone 6 16 GB;639.0;4;NL-7822AW-5
5;send invoice;2015-01-06 15:54:13;2015-01-06 16:01:06;Jack;APPLE iPhone 6s Plus 64 GB;969.0;3;NL-7918AE-48b
14;place order;2015-01-06 17:09:23;2015-01-06 17:16:47;Aiden;SAMSUNG Core Prime G361;135.0;3;NL-7823JJ-7
11;send invoice;2015-01-06 17:36:04;2015-01-06 17:44:13;Jack;APPLE iPhone 6 16 GB;639.0;4;NL-7821AC-3
15;place order;2015-01-06 18:36:53;2015-01-06 18:40:41;Aiden;SAMSUNG Galaxy S4;329.0;3;NL-7833HT-15
8;send invoice;2015-01-06 19:45:44;2015-01-06 19:49:11;Emily;SAMSUNG Galaxy S4;329.0;2;NL-9514BV-16
16;place order;2015-01-06 21:26:54;2015-01-06 21:38:39;Sophia;SAMSUNG Galaxy S4;329.0;3;NL-9403KD-31
17;place order;2015-01-07 04:42:36;2015-01-07 05:28:42;Luke;APPLE iPhone 6s 64 GB;858.0;1;NL-7833HT-15
1;send invoice;2015-01-07 09:21:32;2015-01-07 09:28:55;Lily;SAMSUNG Galaxy S4;329.0;5;NL-7833HT-15
18;place order;2015-01-07 10:10:58;2015-01-07 10:23:18;Olivia;SAMSUNG Core Prime G361;135.0;2;NL-7812LW-50
19;place order;2015-01-07 11:40:04;2015-01-07 12:16:09;Luke;APPLE iPhone 6 16 GB;639.0;3;NL-9408BM-37
7;send invoice;2015-01-07 11:59:50;2015-01-07 12:03:55;Lily;MOTOROLA Moto G;199.0;4;NL-7742XG-17
2;send invoice;2015-01-07 12:51:54;2015-01-07 13:16:07;Caleb;MOTOROLA Moto G;199.0;5;NL-7751DG-21
20;place order;2015-01-07 13:38:15;2015-01-07 13:43:28;Sophia;SAMSUNG Galaxy S4;329.0;4;NL-7821AC-3
3;send invoice;2015-01-07 14:09:32;2015-01-07 14:18:04;Jack;APPLE iPhone 6 16 GB;639.0;7;NL-9402NV-25
21;place order;2015-01-07 15:34:37;2015-01-07 19:02:58;Lucas;APPLE iPhone 6 16 GB;639.0;3;NL-7908MH-44
12;send invoice;2015-01-07 16:31:52;2015-01-07 16:37:38;Lily;APPLE iPhone 6 16 GB;639.0;2;NL-7742XG-17
22;place order;2015-01-07 17:27:21;2015-01-07 21:06:22;Lucas;SAMSUNG Galaxy S4;329.0;2;NL-7908MH-44
6;send invoice;2015-01-07 19:07:02;2015-01-07 19:12:08;Lily;APPLE iPhone 6s Plus 64 GB;969.0;4;NL-7822AW-5
23;place order;2015-01-07 19:12:50;2015-01-07 19:16:19;Aiden;APPLE iPhone 5s 16 GB;449.0;3;NL-9331MA-24
24;place order;2015-01-07 22:01:54;2015-01-07 22:10:38;Sophia;APPLE iPhone 6 16 GB;639.0;4;NL-9521GC-32
25;place order;2015-01-08 07:12:36;2015-01-08 07:18:57;Aiden;APPLE iPhone 6 16 GB;639.0;2;NL-9468HG-14
26;place order;2015-01-08 09:55:59;2015-01-08 10:02:09;Sophia;APPLE iPhone 6 16 GB;639.0;2;NL-7833HT-15
14;send invoice;2015-01-08 10:41:54;2015-01-08 10:48:13;Lily;SAMSUNG Core Prime G361;135.0;3;NL-7823JJ-7
13;send invoice;2015-01-08 10:47:26;2015-01-08 10:49:28;Emily;APPLE iPhone 6 16 GB;639.0;4;NL-7822AW-5
27;place order;2015-01-08 12:10:05;2015-01-08 12:14:59;Aiden;SAMSUNG Core Prime G361;135.0;4;NL-9521ET-30
28;place order;2015-01-08 13:38:17;2015-01-08 13:41:42;Aiden;SAMSUNG Galaxy S4;329.0;2;NL-7821AC-3
16;send invoice;2015-01-08 14:12:34;2015-01-08 14:16:34;Lily;SAMSUNG Galaxy S4;329.0;3;NL-9403KD-31
20;send invoice;2015-01-08 14:39:28;2015-01-08 15:04:15;Caleb;SAMSUNG Galaxy S4;329.0;4;NL-7821AC-3
4;send invoice;2015-01-08 15:16:14;2015-01-08 15:20:51;Lily;SAMSUNG Core Prime G361;135.0;3;NL-7751AR-19
29;place order;2015-01-08 15:34:42;2015-01-08 15:41:25;Aiden;SAMSUNG Galaxy S4;329.0;5;NL-9521ET-30
28;send invoice;2015-01-08 16:34:16;2015-01-08 16:38:34;Lily;SAMSUNG Galaxy S4;329.0;2;NL-7821AC-3
30;place order;2015-01-08 17:27:31;2015-01-08 17:40:42;Olivia;MOTOROLA Moto E 4G;99.99;5;NL-7742XG-17
31;place order;2015-01-08 19:13:09;2015-01-08 23:06:43;Lucas;SAMSUNG Galaxy J5;219.99;2;NL-9403HL-27
32;place order;2015-01-08 22:02:32;2015-01-08 22:10:31;Mia;APPLE iPhone 6 16 GB;639.0;3;NL-7751DG-21
33;place order;2015-01-09 07:16:25;2015-01-09 07:24:05;Caleb;SAMSUNG Galaxy S4;329.0;1;NL-7742XG-17
34;place order;2015-01-09 10:00:10;2015-01-09 10:14:51;Sophia;SAMSUNG Galaxy S4;329.0;3;NL-7823JJ-7
26;send invoice;2015-01-09 10:31:41;2015-01-09 10:38:30;Jack;APPLE iPhone 6 16 GB;639.0;2;NL-7833HT-15
35;place order;2015-01-09 11:18:27;2015-01-09 12:02:40;Isabella;APPLE iPhone 6s Plus 64 GB;969.0;2;NL-7833HT-15
25;send invoice;2015-01-09 11:19:13;2015-01-09 11:46:36;Caleb;APPLE iPhone 6 16 GB;639.0;2;NL-9468HG-14
36;place order;2015-01-09 12:55:02;2015-01-09 17:42:42;Lucas;MOTOROLA Moto E 4G;99.99;3;NL-9411ME-47
15;send invoice;2015-01-09 14:41:57;2015-01-09 14:50:01;Lily;SAMSUNG Galaxy S4;329.0;3;NL-7833HT-15
37;place order;2015-01-09 15:08:11;2015-01-09 15:16:40;Sophia;APPLE iPhone 5s 16 GB;449.0;1;NL-9766VB-39
10;send invoice;2015-01-09 15:43:21;2015-01-09 15:49:45;Lily;APPLE iPhone 6s 64 GB;858.0;3;NL-7828AM-11a
23;send invoice;2015-01-09 15:52:57;2015-01-09 15:58:38;Jack;APPLE iPhone 5s 16 GB;449.0;3;NL-9331MA-24
38;place order;2015-01-09 16:34:29;2015-01-09 16:39:15;Aiden;SAMSUNG Galaxy J5;219.99;1;NL-7822AW-5
19;send invoice;2015-01-09 16:59:22;2015-01-09 17:06:54;Lily;APPLE iPhone 6 16 GB;639.0;3;NL-9408BM-37
39;place order;2015-01-09 18:27:05;2015-01-09 18:34:17;Aiden;APPLE iPhone 6 16 GB;639.0;2;NL-7908XB-46
40;place order;2015-01-09 20:57:30;2015-01-09 21:03:09;Sophia;APPLE iPhone 5s 16 GB;449.0;3;NL-9514BV-16
37;send invoice;2015-01-09 21:53:25;2015-01-09 22:00:51;Jack;APPLE iPhone 5s 16 GB;449.0;1;NL-9766VB-39
41;place order;2015-01-10 10:28:12;2015-01-10 10:31:07;Emma;SAMSUNG Galaxy S4;329.0;3;NL-7948DN-12a
42;place order;2015-01-11 10:33:36;2015-01-11 10:45:39;Sophia;SAMSUNG Galaxy S4;329.0;2;NL-7905AX-38
43;place order;2015-01-12 03:02:24;2015-01-12 03:11:18;Sophia;SAMSUNG Galaxy S4;329.0;3;NL-9468HG-14
18;send invoice;2015-01-12 08:40:07;2015-01-12 08:49:30;Jack;SAMSUNG Core Prime G361;135.0;2;NL-7812LW-50
30;send invoice;2015-01-12 09:15:02;2015-01-12 09:23:05;Lily;MOTOROLA Moto E 4G;99.99;5;NL-7742XG-17
44;place order;2015-01-12 09:20:46;2015-01-12 09:24:55;Aiden;APPLE iPhone 5s 16 GB;449.0;2;NL-9405NP-33
45;place order;2015-01-12 10:59:39;2015-01-12 11:05:53;Aiden;SAMSUNG Galaxy S4;329.0;3;NL-7828AM-11a
29;send invoice;2015-01-12 11:43:56;2015-01-12 11:49:53;Lily;SAMSUNG Galaxy S4;329.0;5;NL-9521ET-30
46;place order;2015-01-12 13:17:25;2015-01-12 13:28:52;Caleb;MOTOROLA Moto G;199.0;5;NL-7944RD-8
47;place order;2015-01-12 14:52:57;2015-01-12 15:07:30;Sophia;SAMSUNG Core Prime G361;135.0;4;NL-9521CT-28b
24;send invoice;2015-01-12 16:23:07;2015-01-12 16:39:12;Alexander;APPLE iPhone 6 16 GB;639.0;4;NL-9521GC-32
48;place order;2015-01-12 17:04:02;2015-01-12 17:09:41;Sophia;APPLE iPhone 6 16 GB;639.0;2;NL-7948DN-12a
49;place order;2015-01-12 18:26:11;2015-01-12 18:30:42;Jacob;APPLE iPhone 6 16 GB;639.0;4;NL-9521CT-28b
34;send invoice;2015-01-12 20:26:57;2015-01-12 20:33:57;Lily;SAMSUNG Galaxy S4;329.0;3;NL-7823JJ-7
50;place order;2015-01-12 20:54:47;2015-01-12 21:16:42;Isabella;SAMSUNG Galaxy S6 32 GB;543.99;4;NL-7751AR-19
51;place order;2015-01-13 02:29:54;2015-01-13 02:36:18;Aiden;SAMSUNG Galaxy S4;329.0;4;NL-7833HT-15
52;place order;2015-01-13 09:45:01;2015-01-13 09:55:44;Sophia;APPLE iPhone 6 16 GB;639.0;5;NL-7828AM-11a
53;place order;2015-01-13 11:48:09;2015-01-13 11:59:26;Sophia;MOTOROLA Moto E 4G;99.99;2;NL-7931TV-36
17;send invoice;2015-01-13 12:42:14;2015-01-13 12:44:39;Emily;APPLE iPhone 6s 64 GB;858.0;1;NL-7833HT-15
54;place order;2015-01-13 13:54:25;2015-01-13 13:57:41;Emma;APPLE iPhone 5s 16 GB;449.0;2;NL-7823JJ-7
35;send invoice;2015-01-13 14:30:43;2015-01-13 14:38:07;Lily;APPLE iPhone 6s Plus 64 GB;969.0;2;NL-7833HT-15
32;send invoice;2015-01-13 14:58:26;2015-01-13 15:07:36;Jack;APPLE iPhone 6 16 GB;639.0;3;NL-7751DG-21
55;place order;2015-01-13 16:06:58;2015-01-13 16:45:10;Luke;APPLE iPhone 6s 64 GB;858.0;3;NL-9511PN-20
46;send invoice;2015-01-13 17:03:57;2015-01-13 17:09:43;Jack;MOTOROLA Moto G;199.0;5;NL-7944RD-8
45;send invoice;2015-01-13 17:18:58;2015-01-13 17:25:34;Jack;SAMSUNG Galaxy S4;329.0;3;NL-7828AM-11a
